text,rating,label_name,vehicle
What would you rate a car that you can not drive? What wouldyou do when dealership runs away from providing support/resolution? How do youfeel when you think of trade in/get rid of a car with these known issues for anew one and when someone with financial condition ends up buying your junk?,1,negative,2015 Nissan Altima Sedan 2.5 SL 4dr Sedan (2.5L 4cyl CVT)
"I bought this car in 2003 as a graduation present to myself, little did I know what a piece of crap I bought. I'm not joking when I say my CD player broke about once a month. Something went wrong with my electrical system and my lights would randomly turn off. Just about any replacement parts have to be bought from Nissan (rip off). After my radiator and my head gasket went at 60,000 I got rid of this car. I couldn't afford to keep up with all of the repairs and of course Nissan kept trying to turn everything around on me even when my car was under warranty! I traded this piece of crap in for a Toyota Matrix and 3 years later I'm still happy I did so! I swear I will never buy a Nissan again",2,negative,2003 Nissan Sentra Sedan GXE 4dr Sedan (1.8L 4cyl 5M)
"Update: I am ready to trade in!, this vehicle is not worth it at all....the more I have it the more I hate it. The performance is poor.....is a V6!, this should have more power when riding on the highway. The seats are uncomfortable. not enough specs for the price. Rogue should be a better option. I do not recommend this vehicle. Please read my old notes before reading the update. thanksthe first thing that you have to know is that the bluetooth technology that is in the car is the worst! unless you want to spend an extra 10,000 dollars to get the fully loaded version, but then that would put you on high priced vehicle, and with that might price you might be able to get some thing with more luxury. The bluetooth capabilities are just to hear a phone call come in....that is it! You may ask.....what about audio streaming? NOPE, not available. you would have to buy a dongle/adapter for it or some audio cables that are going to be hanging out of your middle console, and look crappy. (yes im picky like that) i just feel that it is not worth the price. my 20,0000 nissan rougue had audio streaming; i paid twice as much for this one. I do not get navigation, so i have 6 BUTTONS from my stearing wheel to the control panel that do the same thing!....... and that is to change my radio station one up......really? I know that my review is mostly on the sound system ...and it is, but i like to go down to the details like these. When i purchased the car i asked if bluetooth was included and they said yes, but i never thought that it would be just for calls. when i told my dealer about the complaint, the sales guy said ""yeah sometimes the cheaper cars have better feautures""....(wow) Also, nissan stated that they spent 6000 just on the entertaining system; mmmm i don't know, you would think that 6000 dollars can get you a higher quality screen for your dash board. there are also two ""back"" buttons, 2 ""settings"" buttons, 2 ""info"" buttons that alone is just 6 buttons wasted. i hope th",2,negative,2016 Nissan Pathfinder SUV SV 4dr SUV (3.5L 6cyl CVT)
I just bought a 2009 toyota camry LE with 76000 miles. After owning it for only a couple weeks I've had it stall out on me as I slowed down for a stop light. Also the other day as I was driving the brake light randomly showed up. Anybody else having issues with their camry of around the same year stalling out?,2,negative,2009 Toyota Camry Sedan 4dr Sedan (2.4L 4cyl 5M)
"I bought a brand new 2014 Nissan Versa Note Plus. At 25,000 miles the transmission went. By the time it hit 38,000 miles the transmission went 2 more times. The battery also cracked & leaked for no reason. Other things have also happened. And Nissan will not buy back my car. I also found out that I am not the only person having the transmission problems. There's been a lot more people having the same problem.",1,negative,2014 Nissan Versa Note Hatchback 1.6 S 4dr Hatchback (1.6L 4cyl 5M)
"1.5 years after purchase, my transmission gone bad and the dealer replaced it. The dealer replaced a couple of spark plugs in 2~3 years. The dealer didn't tell me about the replacement of spark plugs. Soon after the factory warranty expired, the intake valve was loose and the dealer needed to re-tighten it. Even well before the warranty expiration, the problem (jerking and shaking) associated with the loose intake valve started. Another BMW? No way!!! Buy American or Korean.",1,negative,2014 BMW 3 Series Sedan 328i 4dr Sedan (2.0L 4cyl Turbo 8A)
"This vehicle is excellent mechanically and performance wise, aside from averaging about 10 mpg. However there are other critical drawbacks. My major complaint was the quality of the paint on the vehicle. It had noticeable splotches along the front roofline, rear hatch and gas cap lid that became apparent when viewed in direct sunlight. Three different paint experts said this was a systemic problem with the paint application at the manufacturing plant. The dealership replaced the gas cap lid but refused to address the other issues. Their reasoning was that those same splotches were evident on other X5M's. The manufacturer sent a technician out and he said he couldn't see them. Their customer service is the worst I have ever dealt with. We dumped the vehicle and will never buy another BMW.",2,negative,2017 BMW X5 M SUV 4dr SUV AWD (4.4L 8cyl Turbo 8A)
"I purchased this vehicle approximately one year ago. In summary, there is lots not to like about the vehicle. Highly annoying. I’ve never owned a Toyota before. Their customer service is even worse than the car. Simply disgraceful. Do yourself a favor and buy from a different manufacturer.",1,negative,2016 Toyota RAV4 SUV SE 4dr SUV AWD (2.5L 4cyl 6A)
"I don't even know where to begin. We are in a time crunch and needed to buy a car and we had always heard that Toyotas were very reliable and dependable. We are loyal Honda owners however we figured we'd give a Toyota a chance. We bought a used 2007 RAV4 with clean car fax from a reputable dealer and low miles (72k, which for a nine-year-old car is great). The dealership had changed the oil and done a complete tuneup before selling the car to us, however we had the oil change just 3000 miles later after we bought it and the person changing our oil said he couldn't believe the car was still functioning because there was almost no oil left. This is a consistent problem with Toyotas. We also had issues with the engine making noises and check engine light coming on sporadically. The car would shake and rattle and we had to have the oil changed four times in the less than six months we owned it. The worst part was when the air conditioner died and all of the coolant was leaking out through the front onto the driver and passenger's feet!! The car would shake and rattle and we had to have the oil changed four times in the less than six months me owned it. The worst part was when the air conditioner died and all of the coolant was leaking out through the front onto the driver and passenger side's feet! Worst money we ever spent. If you're considering buying a used RAV4, please look into the fact that this year had over 12 recalls alone. There are known issues and the dealerships and Toyota are not good at taking care of these issues. They tried to put a Band-Aid on them and people like me suffer. I shouldn't have needed to buy a new car six months after owning this one. It is such a shame. From now on I am only buying Honda. For those of you thinking about this model please run don't walk. Look for a 2001 or 2002 Honda CRV. Much more reliable or you could get a Honda element which is even larger interior space and much more dependable.",1,negative,2007 Toyota RAV4 SUV 4dr SUV 4WD (2.4L 4cyl 4A)
"Make sure to test drive with the radio off to see if you can live with the loud cabin noise every time the brake pedal is pressed.It is a squish sound like walking in a wet shoe.Also, the transmission is very rough and surges at 45 mph when ""cruising"" at low RPM.Neither of which came up during my short test drive (with radio on).I have only owned it for 300 miles and already had it back to the dealership.They had it for a full day only to tell me, ""brake noise is loud but normal...the others on the lot sound exactly the same"", and, they claimed they could not feel the surging/jerky transmission.Now after further research I see similar posts online.Very disappointing.",2,negative,2011 Toyota 4Runner SUV SR5 4dr SUV 4WD (4.0L 6cyl 5A)
"poor engine power, horrible cvt trany. 2000 mile onVehicle drift and pull on windy days so bad hard to keep on center line or the road. milage 3800 on the vehicle and transmission fells like slips on up hill driving from stop and go. millage 4000 vehicle stall and almost shuts down when almost stop on braking. Horrible customer service provided by Nissan and he dealer.",2,negative,2014 Nissan Sentra Sedan SL 4dr Sedan (1.8L 4cyl CVT)
"This is my third toyota, I doubt I will be buying another Tacoma because I don't believe the quality is the same as the 1995 model I had. Got nearly 300K on it and I can only hope this one will give me half as good of service. Fuel mileage and power are both lacking in my 03 (avg 18 mpg) and the comfort, noise level and interior design seems to be lacking quite a bit. Have had some trouble geeting std trans to shift into reverse several times and had to move forward in order to get into reverse. Cup holders are really of no use as they are in the way and will not hold cups very well.",2,negative,2003 Toyota Tacoma Regular Cab 2dr Regular Cab 4WD SB (2.7L 4cyl 5M)
"Our 4Runner had transmission and catalytic converter problems. When we got to the third catalytic converter and the second transmission we decided to trade it in. Only 46,000 miles in just over three years. No we did not have to pay for this work, but the trips to the dealer were getting old, and no I did not feel like towing on a long trip to have the transmission die while towing the boat. The car stank the first year until they finally replaced the catalytic converter. The transmisson vibrated under light acceleration before and after it was replaced. Then the dashboard lighted up like a Christmas tree only a day after the transmission was replaced. We traded ours, hope you don't buy it.",2,negative,2003 Toyota 4Runner SUV SR5 4WD 4dr SUV (4.0L 6cyl 4A)
"This car is a complete lemon.I have had so many things go wrong with this car and Toyota DOES NOT CARE.This will be the last Toyota I ever buy.The sliding door has been broken at least four times, I've had to spend money to replace several things in the drive shaft at a cost of hundreds of dollars, things fall apart and the quality sucks.",2,negative,2004 Toyota Sienna Minivan LE 8-Passenger Fwd 4dr Minivan (3.3L 6cyl 5A)
"I am not made of money and I still have a car note on it and I did buy this car in 2013 brand new. It is getting close to 36,000 miles. But I cannot just go out and buy another car. I feel like putting it up for sale and looking around for something else. I wish Nissan would admit to making a piece of garbage and buy the car back for the total price I purchased it for. I had a 2004 Hyundai Elantra and it was a great car. I am having the stalling issue and have had to already replace the battery and the weatherstripping on top of the car, browning of the tires, the list goes on! I bought it at the time seeing no major recalls except for Honda and Toyota at the time due to Takata airbags on those.",1,negative,2013 Nissan Sentra Sedan SV 4dr Sedan (1.8L 4cyl CVT)
"I always want to buy a Rogue. And finally got a chance to drive one from Hertz's rental. Here is my honest review, Very disappointing . 2017 Rogue S AWD ( 24000 miles) is very road NOISY, tire noises and wind noises. The riding is roughed, it feels like riding a military Jeep. It produces clunky sounds when riding over small bumps and you can feel it hard. This Rouge lacks comfort, even the seats are hard . The acceleration is weaks but acceptable do to 4 cyl , you can't expect this to move like 4 cyl sedan like the Nissan Altima. Don't get me wrong, I like the Exterior and interior looks. Interior design (instruments and dashboard) I give it an A- , but the rear backup camera's screen should be 4×7 standard. I do love blind side assist and working properly. My 2007 Nissan Altima hybrid with 244600.00 miles is riding better than this Rogue, accelerates faster, smoother rides and a lot less noise when driving. I know I shouldn't compare SUV with a sedan. But my points is that this is 2017 and only 24000.00 miles compare to my Altima ( 2.5, 4 cyl) is 11 years older and with 244600.00 miles. My Altima hybrid never had a single tune up. Yes still original spark plugs and the rest of major mechanical parts . Check engine light came on twice when the hybrid bettery died at 175000 miles and oxygen sensor bad. I don't know how this Rogue will holds up when it hits high milage. Conclusion, I personally will not buy this Rogue because is SO NOISY and CLUNKY.",2,negative,2017 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT)
purchased new and has been spraying gasoline out filler neck when re- fueling. Dealer has replaced evaporative canister 3 times and fuel tank once. Just returned at 43k and dealer and Nissan refused to repair item.,2,negative,2004 Nissan Titan King Cab 4dr King Cab XE Rwd SB (5.6L 8cyl 5A)
I get worse mileage than I got from the 17 year old Grand Am this car replaced. Can't even count the minor problems I've had. Wouldn't recommend this car at any price.,2,negative,2007 Nissan Versa Hatchback 1.8 S 4dr Hatchback (1.8L 4cyl 4A)
"I bought my Tercel in 1996 with 50,000 as I needed a reliable car- all the consumer ratings said it would be. Had it throroughly checked by a mechanic who also said it would be great. Since 90000mi it has been nothing but trouble. Burns 2 qts of oil between oil changes, and I have had an average of $150/month in repairs over the last three years.",2,negative,1997 Toyota Tercel Coupe CE 2dr Coupe
"I thought I saw rust on the underbelly of the car when I first got it, but I didn't worry because I took it in to get an underbelly coating to protect my investment. Complete waste of money because now the truck lid is rusting in several spots. Two years old and it's already rusting out from under me. Manufacturers warranty won't touch it do to excessive miles. Garbage.",2,negative,2016 Nissan Sentra Sedan S 4dr Sedan (1.8L 4cyl CVT)
Rusting floor boards. Abs actuator bad speed sensors . Timing chain issues. Tooo many to list. Will never buy nissan again. 1st and last they dont take responsibility for there faulty parts. Now i understand why i don't see that many maximas on the road.,2,negative,2007 Nissan Maxima Sedan 3.5 SE 4dr Sedan (3.5L 6cyl CVT)
Smart key almost never works! All instrumentation is unreliable. All the little things snap and break and fall apart. 1st time ive ever experienced this with a vehicle. My dealership experience has been a nignmare so gave up on requesting to get things fixed.,1,negative,2015 Nissan Rogue SUV SV 4dr SUV AWD (2.5L 4cyl CVT)
"Make sure sure sure before you buy this that the oil cooling pipe has been replaced under the extended warranty. Mine blew at 150,600 miles (Toyota only covers to 150,000 miles and they wouldn't cover it, and charge double for the repair than another shop using OEM parts). If it's not replaced, your SUV is a time mob waiting to go off. Once this goes you lose about a quart of oil in no time flat, so you can burn the engine out with little sign of problems beforehand.",2,negative,2008 Toyota Highlander SUV 4dr SUV (3.5L 6cyl 5A)
"The 650 has what BMW calls an ""inherent characteristic."" If you drive in ""manual"" shift mode the vehicle is prone to stuttering when coming to a stop. Imagine your head bobbing back and forth like a doll on the dashboard. The vehicle is also prone to severe lunges when driving in m1 (such as you might in a parking garage looking for a spot or while moving forward in a metered freeway on ramp) and to a lesser extent in automatic. The lunges are dangerous and you must drive defensively at 4 miles per hour. BMW states the problem is with the software-it thinks the engine is stalling and the computer gives the engine throttle. BMW won't fix the problem. Stay away from this vehicle.",2,negative,2007 BMW 6 Series Coupe 650i 2dr Coupe (4.8L 8cyl 6M)
"I'm going on my 3rd set of brakes in 2 years. Front brakes I should say. I've owned various cars through my life, drive mostly highway miles, and regularly check my brake fluid. I can't say I recommend this or the refresh model based on this. It's getting a little costly to say the least. I've owned a prior altima to this and had no issues, and drove in the city at the time. If you search it, it's a common problem which has not been issued a recall, so I guess it's not as known or common as it needs to be for a recall. I can without a doubt say this is my last altima, and I will always wait 2-3 years after the refresh and do proper diligence prior to buying a car.",2,negative,2009 Nissan Altima Sedan 2.5 S 4dr Sedan (2.5L 4cyl CVT)
"the first Rav 4 I had (2006) was a ""lemon"" as whenever it rained the car flooded.So Toyota did replace the car after I got a lemon law attorney.This 2007 is guzzling oil and the representative I just spoke with me told me 1 quart for every 1000 miles is normal. WHO ARE THEY KIDDING?And the car has had maybe 6 recalls.Toyota deserves to be out of business.",2,negative,2007 Toyota RAV4 SUV 4dr SUV 4WD (2.4L 4cyl 4A)
"I bought 2012 Rogue in Dec.2011. Now I only drove 10,000km. I noticed there are so many yellow dots under the paint and all over the car body. When you touch it, the surfact is smooth and you are unable to wash it way. even with Wax. I call dealer and booked an appointment tomorrow.",2,negative,2012 Nissan Rogue SUV S 4dr SUV (2.5L 4cyl CVT)
Worst experience ever. I wish we had listened to the reviews and stayed away from this truck. the electronic problems continue to be a problem from the first week. The bright side our dealer has worked with us (Nissan was bad) and found us a used Sprinter high top which already is better.,2,negative,2012 Nissan NV Van 2500 S w/High Roof 3dr Van (4.0L 6cyl 5A)
"We purchased this car brand new, had every recommended service performed on time, and gently drove the car. Still, the transmission went out and had to be replaced under 100k miles.",2,negative,2012 Nissan Sentra SE-R Spec V SE-R Spec V 4dr Sedan (2.5L 4cyl 6M)
"I have a little over 12,000 miles now on my 2017 Prime. I purchased it so that I would perhaps reduce my carbon footprint and also save money by not having to buy so much gas. About 2 months ago I had to have the lock mechanism replaced on the passenger side rear door because it became impossible to open. Then while driving through a parking lot I ran over a dip in the pavement that resulted in damage to the lower front panel which cost $700 to repair. I again sustained damage to the lower panel from scraping on one of those concrete parking barriers. I would assert that the car is too low slung(design flaw). So with those two repairs this vehicle is costing me much more than it is saving. Then two days ago I went to fill the gas tank since it was down to about a 1/4 tank. As I initiated the gas flow it immediately gushed back out and on to the ground, and my foot. After some investigation online I find that the problem has been described before, apparently has to do with the bladder. lastly this car has developed an annoying rattle somewhere in the dashboard. I regret buying this car and would never purchase another one.",2,negative,2017 Toyota Prius Prime Hatchback Plus 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT)
If you don't drive a distance daily you will have problems with a dead battery. I have had my battery replaced twice and I purchased my car in 2014 brand new. Apparently because I work very close to home my battery gets drained and when the weather turns cold my battery dies. I was told because of the electronics the car needs to run more to keep the battery charged. I had an Avalon for many years and never had this issue because it didn't have all the sophisticated electronics. So the solution drive around more to avoid this problem. Crazy!!,2,negative,2014 Toyota Camry Sedan LE 4dr Sedan (2.5L 4cyl 6A)
"There is on one obstacle between the vehicle and myself- Mazda has a hand in it. Owned on. Drove one. Will never sit in another Mazda in this lifetime. Mazda is an unreliable vehicle, that begins showing signs of critical wear and tear around 40k miles. Like engine and transmission issues. Never again. Never.",2,negative,2018 Toyota Yaris iA Sedan 4dr Sedan (1.5L 4cyl 6M)
"Consumer Reports named this POS ""worst mid-sized truck""...they are right on the money. Bought a 2017 TRD Off Road V6 manual in November 2016, had problems almost from the beginning. Among the many I've had or have: stumbling/hesitation on acceleration, horrible fuel mileage (under 16mpg combined, no towing, no hard driving), horrible pinging/knocking/clutch shudder in first gear when cold (whole car shakes), very weak brakes even with upgraded rotors and pads, clutch pedal squeak, scratched up instrument cluster, high pressure fuel pump whine, noisy windows, sound from gas pedal when under heavy acceleration on freeway, howling noise from rear differential, now my suspension is creaking too. Two dozen visits to local dealers, almost every time everything is normal or operating properly...they refuse to fix anything. Toyota and their dealers are inhuman monsters, I will never buy another Toyota and I tell everyone I meet to stay away from all Toyotas!",1,negative,2017 Toyota Tacoma Double Cab TRD Off Road 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M)
Run from this SUV. Mine has been in the shop over 2 months. Two dead tow ins and two dead battery caused by electrical flaws. Poor customer support. It is March 12 and last time I drove it was Feb 8th. Been at dealer no end in sight. Now I have to sue them as they accept no responsibility. For $65000 get a good reliable auto. Not this.,2,negative,2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A)
"My vihecle is RAV4 2018. I bought from Toyota of Bowie, MD 20716 USA. But you know: even it’s not number paste license yet, it’d 2nd times lost control (4WD system malfunction, 2WD only)! Damn it this vihecle, this is my wrong choise!",1,negative,2016 Toyota RAV4 SUV XLE 4dr SUV AWD (2.5L 4cyl 6A)
"The 2017 Highlander is advertising as 20/26 MPG, so far I only get 18 MPG! And I drive mostly on Highway! This is totally fraud advertisement. My 2014 Acura MDX has 22 MPG at least. And the Acceleration of the 2017 Highlander is just painful. Overall it's just an average car, and it's not worth if you pay over 40K! I'm so regret that I didn't add 5K-7K more to upgrade to an Acura MDX, Lexus RX, or Infinite QX60.",2,negative,2017 Toyota Highlander SUV XLE 4dr SUV AWD (3.5L 6cyl 8A)
"Don’t buy paid 35,000 for the limited 2007 . I don't even have 100 thousand miles and I have to add oil every month and it’s not leaking.",1,negative,2007 Toyota RAV4 SUV Limited 4dr SUV 4WD (2.4L 4cyl 4A)
"We too have one of the vehicles which makes an incredibly annoying intermittent buzzing sounds. The dealer has blown us off, pretending like the sound is normal, but it's totally unacceptable. Toyota customer support has been no help at all! Thanks to the Internet, we know we are not crazy or alone like Toyota wants us to think we are. I STRONGLY recommend reading these forums before buying a Highlander or Sienna:http://www.toyotanation.com/forum/333-3rd-generation-2014/1077937-weird-vibrating-buzzing-noise.htmlhttp://www.siennachat.com/forum/193-problems-maintenance-repair/228201-2015-xle-sienna-humming-buzzing-noise-dash.htmlhttp://toyotaowners.net/toyota-forum/showthread.php?t=24778http://www.aboutautomobile.com/Complaint/2015/Toyota/Highlander/10715419http://www.toyotanation.com/forum/333-3rd-generation-2014/1092585-new-2015-ltd-strange-sound-coming-dash-area.html",2,negative,2015 Toyota Highlander SUV XLE 4dr SUV (3.5L 6cyl 6A)
"With this vehicle, I REALLY feel that I am being ripped off since the reliability has dipped WAY below zero in my book, and there were times that I felt Hyundais were better cars until I read worse reviews. Either way, I could've had my Buick repaired for the price of 1-3 loan payments instead of paying $320/month for an unreliable piece of junk that I had to tow twice, stall on the freeway and lose a job over the refusal to provide loaner cars. I had to bring in the car 8 times within the last year for ECU, brakes and transmission issues, and I sincerely thank the BBB for helping me win a Lemon Law settlement!",1,negative,2004 Nissan Sentra Sedan 1.8 S 4dr Sedan (1.8L 4cyl 5M)
"2013 50k miles transmission messed up, going on the freeway & car went from 65 miles to under miles per hr in a couple seconds!! it was very dangerous & scary esp since I had my 2 smaller children in the car with me!! Transmission problem, good thing it was still covered under warranty, but I will not be purchasing another Altima again!!",1,negative,2013 Nissan Altima Sedan 2.5 S 4dr Sedan (2.5L 4cyl CVT)
"Make sure dealer is honest and not just lying to you. I went to buy the truck posted. Found it, confirmed Vin# and went to buy with hard copy of vin# and price quote. Dealer refused to honor and said it was Edmunds fault.",1,negative,2018 Toyota Tundra Double Cab SR5 4dr Double Cab 4WD SB (5.7L 8cyl 6A)
"My Quest has 60,000 miles on it and the dvd player has been replaced twice. The vents fall out of the ceiling constantly, the passenger visor falls out of the ceiling occasionally,when making a left hand turn with the headlights ALL the lights in van come on.The radio antenna has been replaced. The screen that displays everything stopped working. It rattles and shakes, it just sounds sometimes like it is going to fall apart.Worst of all at about 30,000 miles the paint started chipping off. Nissan fixed the little areas as they occurred, 5 days after the warranty ended the chipping started in other areas. ..Funny I saw a quest this weekend for sale with the paint falling off too",2,negative,2004 Nissan Quest Minivan 3.5 S 4dr Minivan (3.5L 6cyl 4A)
"We traded in our 2002 ""Jalopy"" Grand Caravan for this van. It is my first brand new car EVEr! I am so disappointed in the reliability. I've had a front end noise that dlrshp can't duplicate, my brake/accelerator footpad shivers at certain speeds and in certain road conditions. Again dlrshp cannot duplicate. Most importantly, long road trips 4+ hours are horrible. The ""lumbar support"" is unsupportive and lower back hurts after just 2 hours!",2,negative,2009 Toyota Sienna Minivan LE 7-Passenger 4dr Minivan (3.5L 6cyl 5A)
"I bought a used 2012 in may 2016 with 46,000 miles, they ripped me off bad, i didnt understand why it was so slow, drove like a truck, the 2.5 uses a lot of gas and handles so poor, i ask the dealer today and they said up til 2015 it weighed 2500 pounds more then it should, that explains why i hate driving it, you wont enjoy it at all",1,negative,2012 Nissan Altima Sedan 2.5 S 4dr Sedan (2.5L 4cyl CVT)
"I, too, have experienced the faulty radiator leaking into the transmission and ruining it...I have 109000 miles so it is beyond the 80000 mile warranty and nissan wants thousands to fix it....acknowledging that the faulty radiator caused the problem, not wear, tear, etc.....so now they want me to pay the hefty bill for a new radiator and transmission for a defect in the automobile....Shame on Nissan for not recalling and fixing this problem",2,negative,2005 Nissan Xterra SUV SE Rwd 4dr SUV (4.0L 6cyl 5A)
"I am a fairly affluent 55 year old. I have owned many vehicles in my time. From domestics to imports, this is the absolute worst vehicle I have ever owned. Currently running about $2500 to $3500.00 per month in repairs. The dealer loves me. Now it has been sitting in our garage with a brake fluid leak of some sort and is unwilling to turn over at all. Every light on the dash is flashing. What a piece of Garbage. Never again will I own one, EVER!",2,negative,2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A)
"!!BUYERS BEWARE!!-I purchased/picked up a brand new 2013 Nissan Pathfinder Platinum on Friday, 02/22/2013 at about 8:30pm, thinking that it should be the best car for me and my family. On Saturday, 02/23/2013 at about 7:00pm the navigation monitor black-out. Meaning, all infotainment, entertainment, GPS, and many other computer controls are all non-operational. I'm now very doubtful to continue to drive this car. Who knows what other problems will rise next. I even called up Nissan Consumer Affairs and they are helpless. Nissan corporate just don't care for their consumers. I'm now without a car to drive for 3 days and another week in pending, or possibly longer. I'M SCREWED by NISSAN!!",2,negative,2013 Nissan Pathfinder SUV Platinum 4dr SUV 4WD (3.5L 6cyl CVT)
